id,domain,source,excerpt_path,facts,summary_b1,notes
bio_001,biology,"Wikipedia","raw/biology/mitochondria.txt","Mitochondria generate ATP via oxidative phosphorylation.||Mitochondria have a double membrane with inner cristae folds.||Mitochondrial DNA is circular and maternally inherited.||The electron‑transport chain sits in the inner membrane.||Mitochondria are present in almost all eukaryotic cells.","Mitochondria are tiny parts inside most cells that make energy. They have two layers of membrane. They carry their own DNA from the mother.","Standard Bio."
hist_001,history,"Wikipedia","raw/history/bastille.txt","The Bastille was stormed on 14 July 1789.||The attack was driven by a bread shortage, political agitation, and rumors of royal weapon stockpiles.||About 600 people entered the fortress and freed the few prisoners inside.||The crowd seized the gunpowder stored in the Bastille.||The event became a symbol of the French Revolution and the end of absolute monarchy.","On 14 July 1789 Parisians attacked the Bastille prison. It was a famous moment that showed the power of ordinary citizens.","French Rev."
law_001,law,"Cornell Legal","raw/law/offer_acceptance.txt","A contract requires an offer and an acceptance.||An offer must be communicated, show intent to be bound, and list essential terms.||Acceptance must be unconditional and communicated in the manner the offeror requires, or reasonably.||Under the mailbox rule, acceptance is effective when it is mailed, not when received.||A counter‑offer ends the original offer and creates a new offer.","A contract is made when one side says offer and the other says yes. The mailbox rule means a letter works once it is posted.","Contract Law."
math_001,math,"Wikipedia","raw/math/pythagorean.txt","In a right‑angled triangle a² + b² = c².||c is the hypotenuse; a and b are the legs.||The theorem works for any size of right triangle.||It can be proved geometrically (Euclid) or algebraically.||It underlies distance calculations in 2‑D (and extends to 3‑D).","The Pythagorean theorem helps find side lengths of a right triangle. If sides are a and b, then a² plus b² equals c².","Geometry."
chem_001,chemistry,"Wikipedia","raw/chemistry/ph_scale.txt","pH measures how acidic or basic a solution is on a scale from 0 to 14.||pH < 7 indicates acidity; pH = 7 is neutral; pH > 7 indicates basicity.||The pH value is the negative logarithm of the hydrogen‑ion concentration.||Strong acids have low pH and strong bases have high pH.||Biological systems keep pH within a narrow range.","The pH scale tells us how acidic a liquid is. 7 is neutral like water. Numbers below 7 are acidic and above 7 are basic.","Chem 101."
phys_001,physics,"Wikipedia","raw/physics/newton2.txt","Newton's second law states that force equals mass times acceleration (F = m·a).||It explains how an object’s motion changes when a net force is applied.||If the same force acts on a lighter object, it accelerates more than a heavier one.||The equation works for both linear and rotational motion.||It is a cornerstone of classical mechanics.","Newton’s second law says force makes things move. F = m x a. Lighter things speed up faster when pushed.","Physics."
econ_001,economics,"Wikipedia","raw/economics/supply_demand.txt","The law of demand says that a lower price leads to higher quantity demanded.||The law of supply says that a higher price encourages producers to sell more.||Market equilibrium occurs where the supply curve meets the demand curve.||If price is above equilibrium, there is a surplus; if below, a shortage.||Shifts in either curve change the equilibrium price and quantity.","Supply and demand explain prices. When things are cheap, people buy more. When expensive, sellers make more.","Micro-Econ."
psych_001,psychology,"Wikipedia","raw/psychology/classical_conditioning.txt","Classical conditioning was discovered by Ivan Pavlov.||It pairs a neutral stimulus with an unconditioned stimulus.||After repeated pairings, the neutral stimulus alone triggers the response.||Key terms: US, UR, CS, and CR.||Applications include phobias and advertising.","Classical conditioning is learning to connect two things. Pavlov’s dogs learned to drool when they heard a bell.","Psych."
cs_001,computer_science,"Wikipedia","raw/computer_science/binary.txt","Binary uses only two digits: 0 and 1.||All digital data can be represented as a sequence of bits.||A byte consists of eight bits and can represent 0 to 255.||The value is calculated by powers of 2.||Binary makes it easy for electronic circuits to process info.","Binary is the language of computers using only 0 and 1. Every file is just a long string of these two numbers.","CS Basics."
lit_001,literature,"Wikipedia","raw/literature/sonnet18.txt","Sonnet 18 begins 'Shall I compare thee to a summer’s day?'.||The poem argues that beauty will not fade because it is preserved in poetry.||Shakespeare uses 14 lines and iambic pentameter.||Key devices include metaphor and personification.||The poem ends with a famous couplet about the poem living forever.","Sonnet 18 is a poem that says beauty lasts forever in writing. It has 14 lines and a specific rhyme pattern.","English Lit."
geo_001,geography,"Wikipedia","raw/geography/plate_tectonics.txt","Earth’s lithosphere is divided into plates that float on the asthenosphere.||Plate boundaries are divergent, convergent, or transform.||Most earthquakes and volcanoes occur at boundaries.||Movement causes continental drift and mountain building.||Evidence comes from fitting continents and magnetic striping.","The Earth's shell is made of moving plates. Their movement causes mountains, volcanoes, and earthquakes.","Earth Sci."
sci_001,biology,"Wikipedia","raw/biology/photosynthesis.txt","Photosynthesis turns light energy into chemical energy.||It occurs in chloroplasts where chlorophyll absorbs sunlight.||Two main stages: light reactions and the Calvin cycle.||The equation: 6CO2 + 6H2O + light -> C6H12O6 + 6O2.||It supplies most of Earth’s oxygen.","Plants use sunlight to make food. They take in carbon dioxide and release oxygen for us to breathe.","Core Bio."
chem_002,chemistry,"Wikipedia","raw/chemistry/acids_bases.txt","Acids donate hydrogen ions (H+); bases accept them.||Strength is measured by pKa or pKb values.||Strong acids dissociate completely; weak ones only partially.||The pH scale is the negative log of H+ concentration.||Buffers resist changes in pH using weak acid-base pairs.","Acids give away hydrogen and bases take it. Buffers help keep pH steady, like in our blood.","Chem 102."
soc_001,sociology,"Wikipedia","raw/sociology/social_stratification.txt","Social stratification categorizes people into a hierarchy.||Four main systems: slavery, caste, estate, and class.||Social mobility is the ability to move between layers.||Functionalism suggests stratification is necessary for society.||Conflict theory argues it benefits the rich.","Society sorts people into layers based on money and power. Mobility is how people move between layers.","Sociology."
astro_001,astronomy,"Wikipedia","raw/astronomy/solar_system.txt","The Solar System has the Sun and eight planets.||Inner planets are rocky; outer planets are gas or ice giants.||Planetary orbits lie in the ecliptic plane.||The Sun contains > 99% of the mass.||Moons, asteroids, and comets also belong to the system.","The Solar System is the Sun and everything circling it. Rocky planets are close; gas giants are far away.","Space."
env_001,environmental_science,"Wikipedia","raw/environmental_science/greenhouse_effect.txt","The greenhouse effect occurs when gases trap radiation.||Key gases are water vapour, CO2, and methane.||Trapped heat makes the planet habitable.||Human activities increase gases and intensify the effect.||Consequences include rising sea levels and extreme weather.","The greenhouse effect is how the atmosphere keeps Earth warm like a blanket. Humans are making the blanket too thick.","Env Sci."
phil_001,philosophy,"Wikipedia","raw/philosophy/socratic_method.txt","The Socratic method uses probing questions to expose contradictions.||It seeks to stimulate critical thinking.||Socrates used it to examine ethics and virtue.||The pattern is ask, elicit answer, challenge, and refine.||It is still used in law and philosophy classes today.","The Socratic method is learning by asking questions. It helps people find mistakes in their own thinking.","Philosophy."
art_001,art,"Wikipedia","raw/art/impressionism.txt","Impressionism emphasized light, colour and everyday scenes.||Key artists include Monet, Degas, and Renoir.||Painters used loose brushwork and unmixed colors.||It focused on capturing fleeting effects of light.||It paved the way for Post-Impressionism.","Impressionism is a style of painting focused on light and color. Artists used quick strokes to show a moment in time.","Art History."
